Longitud,Latitud,Elevacion
-71.99708899062668,-13.52318946219689,3515.0
-71.9970829352526,-13.52315272121736,3515.0
-71.99705885307664,-13.52312841903328,3515.0
-71.99703476795622,-13.52310411374732,3515.0
-71.99702043830605,-13.52307815676252,3515.0
-71.99701174604165,-13.52305596505987,3515.0
-71.99699175924842,-13.52302620561063,3515.0
-71.9969748280491,-13.52301487221811,3515.0
-71.99695483064332,-13.52298509884147,3515.0
-71.9969266121713,-13.52296621332527,3515.0
-71.99692199557357,-13.52293852650474,3515.0
-71.99690197622026,-13.52290872079319,3567.0
-71.99688349375508,-13.52288814617906,3567.0
-71.99685526615927,-13.52286926025953,3567.0
-71.99682691966503,-13.52285051654398,3567.0
-71.99679846356922,-13.52283190257158,3567.0
-71.99677001882107,-13.52281329585922,3567.0
-71.99675042286071,-13.52281687743975,3567.0
-71.9967138025366,-13.52280930435968,3567.0
-71.99668289804261,-13.52280545439622,3567.0
-71.99665361142979,-13.52281082266775,3567.0
-71.9966211838962,-13.52279776557155,3567.0
-71.99659603791126,-13.52279763624098,3567.0
-71.99656255951794,-13.5227859121918,3567.0
-71.99652904491064,-13.522774320713,3567.0
-71.99650156191466,-13.52276603895033,3567.0
-71.99647766947741,-13.52275288540152,3567.0
-71.99644670544028,-13.52274950790809,3567.0
-71.99641693150895,-13.52273310516774,3567.0
-71.9963896007962,-13.52272487403982,3567.0
-71.99636824005188,-13.52271992511992,3567.0
-71.99633504821313,-13.52270844480111,3567.0
-71.99630782597596,-13.522700246055,3567.0
-71.99628654811758,-13.52269531903655,3567.0
-71.99624995123679,-13.52268873615806,3567.0
-71.99620399212604,-13.52268376027142,3567.0
-71.99616518793944,-13.522669104506,3567.0
-71.99614438711312,-13.52266370964281,3567.0
-71.99611256361958,-13.52265079224504,3567.0
-71.99608301215586,-13.52264607372414,3567.0
-71.99605689799795,-13.52263668444251,3567.0
-71.99602170463831,-13.52262845789012,3567.0
-71.99599562064358,-13.52261907832712,3567.0
-71.99596029981876,-13.52261113193569,3567.0
-71.99593393311012,-13.52260229455434,3567.0
-71.99591116957326,-13.52258854544898,3567.0
-71.99587558535005,-13.52258120834322,3567.0
-71.99584929140967,-13.52257239609592,3567.0
-71.99582302009173,-13.52256359140709,3516.0
-71.99579886505126,-13.52256313084773,3516.0
-71.99576340339999,-13.52255582042991,3516.0
-71.99574077147692,-13.52254212760316,3516.0
-71.99571102431995,-13.52253825472838,3516.0
-71.99568486843226,-13.52252948317435,3516.0
-71.99565517139008,-13.52252561967314,3516.0
-71.99562699014773,-13.52250855050864,3516.0
-71.99559171892179,-13.52250128990284,3516.0
-71.99556210666078,-13.52249744367981,3516.0
-71.99553046047656,-13.52248530555844,3516.0
-71.99550090326146,-13.52248147056094,3516.0
-71.99547847466683,-13.52246786534594,3516.0
-71.99545306738707,-13.52245786819357,3516.0
-71.99541918556963,-13.52244774923496,3516.0
-71.99538528382973,-13.52243762385251,3516.0
-71.99535823312856,-13.52241830213068,3516.0
-71.99533117388933,-13.52239897512759,3516.0
-71.99531149418489,-13.52239196914775,3516.0
-71.9952809756521,-13.52237722437301,3516.0
-71.9952593074972,-13.52236174919763,3516.0
